skill,family,category
spatial databases,t,
spring framework,t,
spss,t,
sql,t,
sql database,t,
sql server 2000-2008,t,
sql server integration services (ssis),t,
sql skills,t,
sql tuning,t,
ssas,t,
ssis,t,
ssrs,t,
star schema,t,
start-up consulting,t,
start-ups,t,
start-ups management,t,
statistical arbitrage,t,
statistical consulting,t,
statistical data analysis,t,
statistical inference,t,
statistical modeling,t,
statistical modelling,t,
statistics,t,
stochastic processes,t,
stored procedures,t,
stormwater management,t,
strategic consulting,nt,mn
strategic financial planning,nt,mn
strategic partnerships,nt,mn
strategic planning,nt,mn
strategic thinking,nt,mn
strategy,t,
streaming analytics,t,
structured data %28sql%29,t,
succession planning,nt,mn
svm,t,
system architecture,t,
system deployment,t,
systems biology,t,
systems engineering,t,
tableau,t,
tableau software,t,
talent management,nt,hr
target identification,nt,mn
tax law,nt,mn
teaching,nt,hr
teaching english as a foreign language,nt,ot
team leadership,nt,ss
team management,nt,ss
teamentwicklung,nt,ss
teamwork,nt,ss
technical presentations,nt,co
technical recruiting,nt,hr
technical training,nt,hr
technical writing,t,
technological innovation,t,
technology integration,t,
telecommunications,t,
testing,t,
text analytics,t,
text mining,t,
tfs,t,
the blank canvas,t,
thought leadership,nt,mn
time management,nt,mn
time series analysis,t,
tomcat,t,
tools,t,
tools and technology,t,
trading strategies,nt,mn
training,nt,hr
troubleshooting,t,
t-sql,t,
uml,t,
understand the business and the problem,nt,ot
understanding the data,t,
unix,t,
unstructured data,t,
unstructured data %283-5 top nosql dbs%29,t,
unternehmensfã¼hrung,t,
user experience,t,
value based selling,nt,mn
vendor management,nt,mn
venture capital,nt,mn
verã¤nderungsmanagement,t,
version control,t,
vim,t,
virtual personal assistants,t,
visionary,t,
visual basic,t,
visual studio,t,
vulnerability assessment,nt,mn
waste management,t,
wastewater treatment,t,
wastewater treatment design,t,
water distribution design,t,
water quality,t,
watercolor,t,
wealth management,nt,mn
web 2.0,t,
web analytics,t,
web development,t,
web mining,t,
web services,t,
weka,t,
windows server,t,
working with children,nt,ot
writing,nt,ot
writing modular,t,
xml,t,
